Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price
HP,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,1tb ssd,898.99

MSI,13.3,intel core ultra 5 125h,16gb,integrated graphics,No Os/ Linux,1tb ssd,1299

Razer,16,,fhd+ intel core i9-13950hx,rtx 4090,No Os/ Linux,32gb,4998.99

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Apple,13.6,m2,8gb,gpu octa core,MacOs,256gb ssd,1169.01

Lenovo,14,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,256gb ssd,599

Acer,15.6,amd ryzen 5 7520u,16gb,integrated graphics,No Os/ Linux,512gb ssd,579

HP,14,intel core i7-1355u,16gb,rtx 2050,No Os/ Linux,1tb ssd,1349

MSI,15.6,intel core i7-13700h,32gb,rtx 4070,No Os/ Linux,1tb ssd,1649

Apple,14,m3 pro 11 n cleos,18gb,gpu 14 n cleos,MacOs,512gb ssd,2499

MSI,16,intel core i7-13700h,32gb,rtx 4050,No Os/ Linux,1tb ssd,1368.99

Apple,13.3,m1,16 gb,gpu hepta core,MacOs,512gb ssd,1568.86

HP,16.1,intel core i7-12700h,32gb,rtx 3060,No Os/ Linux,1tb ssd,1619

Acer,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,418.3

MSI,16,intel core i9-13980hx,64gb,rtx 4070,No Os/ Linux,1tb ssd,3029.01

HP,16.1,intel core i7-12700h,32gb,rtx 3060,No Os/ Linux,512gb ssd,1449

MSI,13.3,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,1tb ssd,1249

MSI,17.3,intel core i7-13700h,32gb,rtx 4070,No Os/ Linux,1tb ssd,1669

MSI,16,intel core i7-13700hx,32gb,rtx 4060,No Os/ Linux,1tb ssd,1849

Razer,18,intel core i9-13950hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,3709

Samsung,13.3,intel core i5,16gb,integrated graphics,No Os/ Linux,512gb ssd,1489

Apple,13.3,m1,8gb,gpu hepta core,MacOs,512gb ssd,1348.86

HP,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,699

HP,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,999

HP,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,1tb ssd,979

HP,14,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,1tb ssd,1299

Medion,15.6,intel core i5-10210u,8 gb,integrated graphics,No Os/ Linux,256 gb ssd,390.99

Alurin,15.6.11,intel core i7-1255u,16gb,integrated graphics,Windows,500gb ssd,789.9

MSI,17.3,amd ryzen 9 7945hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,1689

PcCom,15.6.11,intel core i5-13500h,16gb,rtx 4050,Windows,500gb ssd,1139.9

Microsoft,12.4,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,256gb ssd,1139

Asus,16,intel core i9-13900h,32gb,rtx 4090,No Os/ Linux,2tb ssd,3399

LG,15,intel core i5-1340p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1199

Lenovo,15.6,amd ryzen 7 5800h,16 gb,rtx3050,No Os/ Linux,512gb ssd,1078.99

MSI,15.6,intel core i7-13700h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1368.99

Apple,13.3,m1,8gb,gpu hepta core,MacOs,256gb ssd,988.99

Apple,14,m3 pro 12 n cleos,18gb,gpu 18 n cleos,MacOs,1tb ssd,2859

HP,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,898.99

Microsoft,13,intel core i7-1265u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1805.99

Razer,16,intel core i9-14900hx,64gb,rtx 4090,No Os/ Linux,4tb ssd,6741.34

Apple,15.3,m2,8gb,gpu deca core,MacOs,256gb ssd,1439

HP,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,509

Lenovo,15.6,amd ryzen 5 7520u,16gb,integrated graphics,No Os/ Linux,512gb ssd,538.99

Microsoft,13.5,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,1139

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

MSI,17.3,intel core i9-13900h,32gb,rtx 4090,No Os/ Linux,2tb ssd,3149

PcCom,15.6,intel core i7-13700h,16gb,rtx 3050,No Os/ Linux,1tb ssd,1109.9

Alurin,14.11,intel core i5-1155g7,16gb,integrated graphics,Windows,1tb ssd,589.9

HP,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,909

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,512gb ssd,399.9

